goos: linux
goarch: amd64
pkg: polystorechain/pkg/retrievalchallenge
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkV3PlanOneKiB           	30857546	        36.93 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	31830585	        36.99 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32292531	        36.97 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32443759	        36.99 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32383836	        37.11 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32221464	        37.11 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32329002	        37.13 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32240786	        37.07 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32350617	        37.10 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneKiB           	32390059	        37.09 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26153557	        45.95 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26104572	        45.94 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26021799	        45.92 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26087779	        45.93 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26132359	        45.93 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26132109	        45.91 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26103408	        45.89 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26183455	        45.94 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26140904	        45.97 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanThreeBlobs       	26131101	        45.98 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneGiB           	18211599	        65.93 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneGiB           	18202171	        66.03 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneGiB           	18189835	        65.95 ns/op	     448 B/op	       1 allocs/op
BenchmarkV3PlanOneGiB           	18219740	        65.92 ns/op	     448 B/op	       1 allocs/op
